EmploymentID,EmployeeID,Office,Start_Date,Termination_Date,Office_Type,Currency,Salary,Active Status,Job_Profile
0,100001,NYC,5/4/2009,12/12/2999,Corporate,USD,500000,1,JP_1000
1,100002,NYC,5/4/2009,12/12/2999,Corporate,USD,70000,1,JP_1001
2,100003,NYC,5/18/2009,6/5/2013,Corporate,USD,77000,0,JP_1022
3,100004,Boulder,6/22/2009,10/16/2013,Corporate,USD,400000,0,JP_1036
4,100005,NYC,7/13/2009,1/10/2011,Corporate,USD,51000,0,JP_1015
5,100006,NYC,7/20/2009,9/11/2021,Corporate,USD,76000,1,JP_1029
6,100007,NYC,7/20/2009,2/11/2011,Corporate,USD,56000,0,JP_1016
7,100008,NYC,7/27/2009,3/21/2012,Corporate,USD,72000,0,JP_1029
8,100009,NYC,7/27/2009,12/12/2999,Corporate,USD,74000,1,JP_1030
9,100010,NYC,7/27/2009,5/13/2014,Corporate,USD,52000,0,JP_1016
10,100011,NYC,9/21/2009,12/14/2012,Corporate,USD,80000,0,JP_1031
11,100012,NYC,9/21/2009,10/17/2013,Corporate,USD,52000,0,JP_1016
12,100013,NYC,9/28/2009,10/31/2012,Corporate,USD,60000,0,JP_1002
13,100014,NYC,9/28/2009,12/12/2999,Corporate,USD,67000,1,JP_1003
14,100015,NYC,10/5/2009,3/11/2011,Corporate,USD,71000,0,JP_1032
15,100016,NYC,10/5/2009,11/6/2019,Corporate,USD,253000,0,JP_1033
16,100017,NYC,10/12/2009,5/30/2012,Corporate,USD,63000,0,JP_1004
17,100018,NYC,10/12/2009,12/12/2999,Corporate,USD,198000,1,JP_1017
18,100019,NYC,10/19/2009,2/18/2013,Corporate,USD,68000,0,JP_1005
19,100020,NYC,10/19/2009,12/12/2999,Corporate,USD,79000,1,JP_1029
20,100021,NYC,10/26/2009,12/12/2999,Corporate,USD,51000,1,JP_1016
21,100022,NYC,10/26/2009,9/17/2013,Corporate,USD,57000,0,JP_1016
22,100023,NYC,10/26/2009,6/6/2014,Corporate,USD,53000,0,JP_1018
23,100024,NYC,10/26/2009,12/12/2999,Corporate,USD,54000,1,JP_1016
24,100025,NYC,11/2/2009,7/10/2012,Corporate,USD,50000,0,JP_1016
25,100026,NYC,11/2/2009,3/9/2010,Corporate,USD,79000,0,JP_1029
26,100027,NYC,11/16/2009,5/3/2011,Corporate,USD,54000,0,JP_1018
27,100028,NYC,11/23/2009,5/13/2014,Corporate,USD,52000,0,JP_1019
28,100029,NYC,11/30/2009,6/27/2014,Corporate,USD,58000,0,JP_1018
29,100030,NYC,11/30/2009,6/27/2014,Corporate,USD,74000,0,JP_1034
30,100031,NYC,12/21/2009,12/12/2999,Corporate,USD,77000,1,JP_1031
31,100032,NYC,12/21/2009,5/31/2013,Corporate,USD,51000,0,JP_1016
32,100033,NYC,12/21/2009,2/27/2022,Corporate,USD,67000,1,JP_1006
33,100034,NYC,12/28/2009,3/17/2014,Corporate,USD,79000,0,JP_1029
34,100035,NYC,12/28/2009,12/25/2012,Corporate,USD,65000,0,JP_1005
35,100036,NYC,1/4/2010,10/28/2021,Corporate,USD,59000,1,JP_1018
36,100037,NYC,1/4/2010,3/2/2010,Corporate,USD,60000,0,JP_1016
37,100038,NYC,1/4/2010,12/12/2999,Corporate,USD,52000,1,JP_1019
