State,StateFull
NY,New York
GA,Georgia
NJ,New Jersey
GA,Georgia
CA,California
MT,Montana
CA,California
CA,California
TX,Texas
CO,Colorado
CO,Colorado
OK,Oklahoma
FL,Florida
ND,North Dakota
MA,Massachusetts
CA,California
SC,South Carolina
MO,Missouri
TX,Texas
LA,Louisiana
WA,Washington
NY,New York
WA,Washington
OH,Ohio
VA,Virginia
OH,Ohio
IA,Iowa
CA,California
CA,California
VT,Vermont
UT,Utah
OH,Ohio
AZ,Arizona
WA,Washington
MI,Michigan
CA,California
WV,West Virginia
NJ,New Jersey
MI,Michigan
FL,Florida
OH,Ohio
VA,Virginia
LA,Louisiana
MO,Missouri
IL,Illinois
UT,Utah
CA,California
NC,North Carolina
FL,Florida
ID,Idaho
CA,California
GA,Georgia
CA,California
IL,Illinois
,
CA,California
GA,Georgia
MI,Michigan
CT,Connecticut
TX,Texas
FL,Florida
CA,California
,
CA,California
TX,Texas
NJ,New Jersey
TX,Texas
AZ,Arizona
NJ,New Jersey
MA,Massachusetts
NC,North Carolina
IL,Illinois
VA,Virginia
PA,Pennsylvania
IL,Illinois
AZ,Arizona
KS,Kansas
MI,Michigan
WY,Wyoming
CT,Connecticut
IN,Indiana
NC,North Carolina
CA,California
TX,Texas
MO,Missouri
MN,Minnesota
NM,New Mexico
OR,Oregon
LA,Louisiana
NC,North Carolina
SC,South Carolina
AZ,Arizona
TX,Texas
CA,California
MI,Michigan
MI,Michigan
FL,Florida
MI,Michigan
NC,North Carolina
WV,West Virginia
SD,South Dakota
IL,Illinois
NY,New York
ID,Idaho
AZ,Arizona
,
CA,California
NC,North Carolina
NY,New York
GA,Georgia
FL,Florida
NY,New York
CA,California
,
AR,Arkansas
TX,Texas
AL,Alabama
MI,Michigan
KY,Kentucky
NC,North Carolina
WA,Washington
CO,Colorado
MI,Michigan
NE,Nebraska
NY,New York
CA,California
,
FL,Florida
IA,Iowa
NY,New York
GA,Georgia
FL,Florida
MS,Mississippi
FL,Florida
NY,New York
,
OH,Ohio
SC,South Carolina
TX,Texas
AL,Alabama
TN,Tennessee
MD,Maryland
WA,Washington
MI,Michigan
,
MN,Minnesota
NY,New York
MN,Minnesota
,
,
CA,California
UT,Utah
AL,Alabama
VA,Virginia
,
MS,Mississippi
FL,Florida
UT,Utah
NY,New York
OH,Ohio
NJ,New Jersey
CA,California
KS,Kansas
OH,Ohio
WI,Wisconsin
NY,New York
IL,Illinois
AZ,Arizona
MA,Massachusetts
MS,Mississippi
ND,North Dakota
PA,Pennsylvania
TX,Texas
IN,Indiana
KS,Kansas
OH,Ohio
OH,Ohio
,
NY,New York
TN,Tennessee
KS,Kansas
NV,Nevada
PA,Pennsylvania
CA,California
CA,California
OK,Oklahoma
NY,New York
CT,Connecticut
FL,Florida
AL,Alabama
IL,Illinois
CA,California
DE,Delaware
NY,New York
TX,Texas
NJ,New Jersey
FL,Florida
KS,Kansas
TX,Texas
NY,New York
NJ,New Jersey
CA,California
CT,Connecticut
PA,Pennsylvania
NY,New York
NC,North Carolina
CA,California
WI,Wisconsin
TX,Texas
CA,California
WI,Wisconsin
TX,Texas
AK,Alaska
IL,Illinois
LA,Louisiana
MD,Maryland
WI,Wisconsin
NY,New York
WA,Washington
AZ,Arizona
TX,Texas
CA,California
NC,North Carolina
TX,Texas
TX,Texas
,
NJ,New Jersey
IL,Illinois
FL,Florida
PA,Pennsylvania
AZ,Arizona
MI,Michigan
,
,
ND,North Dakota
,
,
OH,Ohio
TN,Tennessee
IL,Illinois
MI,Michigan
WI,Wisconsin
NY,New York
FL,Florida
PA,Pennsylvania
CA,California
OR,Oregon
MD,Maryland
GA,Georgia
CO,Colorado
SC,South Carolina
CA,California
FL,Florida
AL,Alabama
CA,California
OH,Ohio
NV,Nevada
FL,Florida
VA,Virginia
,
WA,Washington
NJ,New Jersey
ID,Idaho
NJ,New Jersey
CA,California
TN,Tennessee
IN,Indiana
MA,Massachusetts
,
NY,New York
WI,Wisconsin
CA,California
MA,Massachusetts
IA,Iowa
NC,North Carolina
PA,Pennsylvania
MO,Missouri
GA,Georgia
IL,Illinois
GA,Georgia
IL,Illinois
,
FL,Florida
TX,Texas
FL,Florida
MA,Massachusetts
MD,Maryland
CT,Connecticut
OR,Oregon
NY,New York
MN,Minnesota
TX,Texas
WI,Wisconsin
AZ,Arizona
CA,California
IL,Illinois
MI,Michigan
CA,California
CA,California
,
AZ,Arizona
TX,Texas
OK,Oklahoma
NJ,New Jersey
LA,Louisiana
FL,Florida
TN,Tennessee
IN,Indiana
IL,Illinois
CA,California
NC,North Carolina
NY,New York
MI,Michigan
TX,Texas
CA,California
NJ,New Jersey
OH,Ohio
MA,Massachusetts
TN,Tennessee
SC,South Carolina
NJ,New Jersey
NJ,New Jersey
OH,Ohio
OR,Oregon
FL,Florida
TX,Texas
MI,Michigan
NH,New Hampshire
TN,Tennessee
AL,Alabama
MD,Maryland
MI,Michigan
TX,Texas
FL,Florida
GA,Georgia
,
,
AR,Arkansas
NJ,New Jersey
NC,North Carolina
MA,Massachusetts
MO,Missouri
CA,California
CO,Colorado
NE,Nebraska
NY,New York
CO,Colorado
AL,Alabama
TX,Texas
MD,Maryland
WI,Wisconsin
WV,West Virginia
TX,Texas
CA,California
MD,Maryland
VA,Virginia
WA,Washington
CO,Colorado
FL,Florida
FL,Florida
WI,Wisconsin
MI,Michigan
LA,Louisiana
IN,Indiana
VA,Virginia
SC,South Carolina
CA,California
CA,California
AZ,Arizona
NY,New York
CA,California
,
,
TX,Texas
CA,California
HI,Hawaii
,
,
NC,North Carolina
IL,Illinois
NC,North Carolina
AR,Arkansas
MA,Massachusetts
CA,California
CA,California
NY,New York
IL,Illinois
CA,California
MS,Mississippi
SD,South Dakota
IN,Indiana
AZ,Arizona
IL,Illinois
SC,South Carolina
NY,New York
,
IL,Illinois
VA,Virginia
AR,Arkansas
TX,Texas
HI,Hawaii
TX,Texas
CA,California
FL,Florida
IL,Illinois
IL,Illinois
WI,Wisconsin
TX,Texas
MD,Maryland
CA,California
,
NV,Nevada
IN,Indiana
NC,North Carolina
PA,Pennsylvania
MA,Massachusetts
MO,Missouri
AR,Arkansas
MN,Minnesota
KS,Kansas
TN,Tennessee
NE,Nebraska
MN,Minnesota
MD,Maryland
VA,Virginia
VT,Vermont
MD,Maryland
LA,Louisiana
IL,Illinois
MD,Maryland
NJ,New Jersey
CA,California
TX,Texas
KS,Kansas
WY,Wyoming
NY,New York
ND,North Dakota
OH,Ohio
UT,Utah
IL,Illinois
CA,California
KS,Kansas
NJ,New Jersey
CA,California
MI,Michigan
MO,Missouri
OH,Ohio
NV,Nevada
CA,California
MI,Michigan
WI,Wisconsin
NE,Nebraska
IL,Illinois
OK,Oklahoma
TX,Texas
,
AL,Alabama
HI,Hawaii
CA,California
MO,Missouri
TX,Texas
,
IL,Illinois
CA,California
IL,Illinois
CA,California
GA,Georgia
CA,California
CA,California
WA,Washington
IL,Illinois
AL,Alabama
CA,California
MO,Missouri
,
AZ,Arizona
NY,New York
CA,California
IN,Indiana
RI,Rhode Island
FL,Florida
NJ,New Jersey
,
MA,Massachusetts
NC,North Carolina
NE,Nebraska
KS,Kansas
PA,Pennsylvania
OR,Oregon
ID,Idaho
TX,Texas
CA,California
OH,Ohio
CA,California
MO,Missouri
CO,Colorado
TN,Tennessee
ND,North Dakota
OK,Oklahoma
GA,Georgia
CA,California
CT,Connecticut
CA,California
TN,Tennessee
,
NY,New York
CT,Connecticut
GA,Georgia
AL,Alabama
NC,North Carolina
,
TX,Texas
NY,New York
MO,Missouri
SC,South Carolina
CA,California
AL,Alabama
IL,Illinois
CO,Colorado
CT,Connecticut
NY,New York
MN,Minnesota
MS,Mississippi
NY,New York
SC,South Carolina
NY,New York
TX,Texas
MO,Missouri
GA,Georgia
NY,New York
VA,Virginia
MI,Michigan
IL,Illinois
WA,Washington
NV,Nevada
KY,Kentucky
PA,Pennsylvania
VA,Virginia
ME,Maine
CT,Connecticut
CT,Connecticut
WA,Washington
TN,Tennessee
MA,Massachusetts
PA,Pennsylvania
AL,Alabama
KS,Kansas
MN,Minnesota
TN,Tennessee
ME,Maine
MI,Michigan
IA,Iowa
NJ,New Jersey
MD,Maryland
OK,Oklahoma
AL,Alabama
ND,North Dakota
WA,Washington
CO,Colorado
MN,Minnesota
LA,Louisiana
NY,New York
MI,Michigan
WY,Wyoming
CA,California
NC,North Carolina
OK,Oklahoma
MO,Missouri
NY,New York
CA,California
NY,New York
FL,Florida
MI,Michigan
CT,Connecticut
FL,Florida
GA,Georgia
KY,Kentucky
CA,California
LA,Louisiana
NJ,New Jersey
CA,California
TX,Texas
OK,Oklahoma
KY,Kentucky
OH,Ohio
OR,Oregon
TX,Texas
CA,California
FL,Florida
TX,Texas
IL,Illinois
CO,Colorado
CA,California
TN,Tennessee
MI,Michigan
CA,California
NC,North Carolina
PA,Pennsylvania
WA,Washington
PA,Pennsylvania
NY,New York
TX,Texas
IN,Indiana
TN,Tennessee
AZ,Arizona
NJ,New Jersey
ND,North Dakota
TX,Texas
MI,Michigan
CO,Colorado
MI,Michigan
IL,Illinois
AZ,Arizona
NC,North Carolina
WI,Wisconsin
MA,Massachusetts
PA,Pennsylvania
,
MA,Massachusetts
MN,Minnesota
MN,Minnesota
IL,Illinois
GA,Georgia
NC,North Carolina
FL,Florida
OH,Ohio
,
,
NY,New York
CT,Connecticut
NY,New York
OH,Ohio
ND,North Dakota
IN,Indiana
NE,Nebraska
AR,Arkansas
CA,California
NJ,New Jersey
GA,Georgia
WA,Washington
OR,Oregon
CA,California
MS,Mississippi
CA,California
GA,Georgia
PA,Pennsylvania
PA,Pennsylvania
WI,Wisconsin
NJ,New Jersey
FL,Florida
IN,Indiana
TX,Texas
WA,Washington
TX,Texas
NY,New York
MN,Minnesota
TX,Texas
IL,Illinois
AL,Alabama
AL,Alabama
SC,South Carolina
DC,Washington DC
CA,California
ID,Idaho
PA,Pennsylvania
ME,Maine
AZ,Arizona
IL,Illinois
AL,Alabama
VA,Virginia
FL,Florida
ID,Idaho
PA,Pennsylvania
NJ,New Jersey
CA,California
WA,Washington
KS,Kansas
MD,Maryland
PA,Pennsylvania
PA,Pennsylvania
FL,Florida
,
OH,Ohio
CA,California
MI,Michigan
NC,North Carolina
DC,Washington DC
MS,Mississippi
CA,California
FL,Florida
MS,Mississippi
MD,Maryland
MI,Michigan
AZ,Arizona
CA,California
MN,Minnesota
WA,Washington
TX,Texas
NJ,New Jersey
,
,
NY,New York
AK,Alaska
CA,California
,
IL,Illinois
OH,Ohio
GA,Georgia
NE,Nebraska
UT,Utah
IL,Illinois
MD,Maryland
,
IL,Illinois
FL,Florida
NV,Nevada
CA,California
,
,
LA,Louisiana
VA,Virginia
NC,North Carolina
FL,Florida
MI,Michigan
OR,Oregon
OK,Oklahoma
,
NY,New York
CA,California
MI,Michigan
NY,New York
CA,California
CA,California
NY,New York
,
NJ,New Jersey
OH,Ohio
CO,Colorado
ND,North Dakota
AL,Alabama
MA,Massachusetts
NC,North Carolina
OR,Oregon
IN,Indiana
NY,New York
LA,Louisiana
MA,Massachusetts
VT,Vermont
,
IL,Illinois
HI,Hawaii
AZ,Arizona
IA,Iowa
MI,Michigan
ID,Idaho
CO,Colorado
TX,Texas
OH,Ohio
MO,Missouri
NE,Nebraska
CA,California
GA,Georgia
CA,California
ME,Maine
MI,Michigan
MI,Michigan
MO,Missouri
TX,Texas
CA,California
OK,Oklahoma
VA,Virginia
OK,Oklahoma
CA,California
IL,Illinois
NJ,New Jersey
IN,Indiana
IL,Illinois
SC,South Carolina
TX,Texas
FL,Florida
PA,Pennsylvania
OH,Ohio
NY,New York
PA,Pennsylvania
CA,California
,
WV,West Virginia
WI,Wisconsin
NJ,New Jersey
OH,Ohio
NY,New York
CA,California
MI,Michigan
OK,Oklahoma
NY,New York
GA,Georgia
IL,Illinois
SC,South Carolina
IL,Illinois
AK,Alaska
TN,Tennessee
MA,Massachusetts
SD,South Dakota
NE,Nebraska
NJ,New Jersey
IL,Illinois
CO,Colorado
TX,Texas
PA,Pennsylvania
WA,Washington
AL,Alabama
VA,Virginia
CA,California
MN,Minnesota
,
FL,Florida
IL,Illinois
NJ,New Jersey
GA,Georgia
PA,Pennsylvania
VA,Virginia
CO,Colorado
IL,Illinois
WI,Wisconsin
IL,Illinois
NJ,New Jersey
,
WI,Wisconsin
OR,Oregon
WY,Wyoming
NH,New Hampshire
FL,Florida
ME,Maine
KY,Kentucky
NY,New York
KS,Kansas
NJ,New Jersey
MS,Mississippi
CA,California
PA,Pennsylvania
AL,Alabama
ID,Idaho
TX,Texas
CA,California
NH,New Hampshire
TX,Texas
VA,Virginia
WA,Washington
NY,New York
CA,California
LA,Louisiana
TX,Texas
NJ,New Jersey
CO,Colorado
WI,Wisconsin
HI,Hawaii
WY,Wyoming
UT,Utah
NC,North Carolina
TX,Texas
DE,Delaware
FL,Florida
,
CA,California
CA,California
FL,Florida
UT,Utah
LA,Louisiana
TX,Texas
NC,North Carolina
WA,Washington
NM,New Mexico
,
TN,Tennessee
VA,Virginia
MS,Mississippi
CA,California
CA,California
OH,Ohio
IL,Illinois
KY,Kentucky
OH,Ohio
DC,Washington DC
IL,Illinois
PA,Pennsylvania
WA,Washington
WA,Washington
VA,Virginia
FL,Florida
IL,Illinois
WA,Washington
CA,California
TX,Texas
AZ,Arizona
AL,Alabama
OH,Ohio
UT,Utah
NC,North Carolina
MS,Mississippi
TX,Texas
NY,New York
OH,Ohio
IA,Iowa
CO,Colorado
TN,Tennessee
MO,Missouri
VA,Virginia
MA,Massachusetts
NJ,New Jersey
NY,New York
OR,Oregon
KY,Kentucky
CA,California
CA,California
OR,Oregon
IL,Illinois
TX,Texas
MN,Minnesota
,
PA,Pennsylvania
TX,Texas
CA,California
WI,Wisconsin
TN,Tennessee
CA,California
,
IN,Indiana
IA,Iowa
AZ,Arizona
MN,Minnesota
OR,Oregon
NY,New York
AZ,Arizona
OK,Oklahoma
MN,Minnesota
CA,California
,
NY,New York
WA,Washington
IL,Illinois
TX,Texas
OH,Ohio
MI,Michigan
MI,Michigan
CA,California
CA,California
MO,Missouri
NC,North Carolina
IL,Illinois
MO,Missouri
CA,California
PA,Pennsylvania
NY,New York
NV,Nevada
MI,Michigan
,
,
,
MN,Minnesota
GA,Georgia
MS,Mississippi
FL,Florida
PA,Pennsylvania
GA,Georgia
OK,Oklahoma
IL,Illinois
NY,New York
,
IL,Illinois
CA,California
PA,Pennsylvania
CA,California
NY,New York
MS,Mississippi
PA,Pennsylvania
HI,Hawaii
,
CA,California
SC,South Carolina
LA,Louisiana
